Tahun,Jk,Propinsi,Kab.kota,AHH
2010,Laki-laki,Aceh,Simeulue,62.15
2010,Laki-laki,Aceh,Aceh Singkil,64.76
2010,Laki-laki,Aceh,Aceh Selatan,61.04
2010,Laki-laki,Aceh,Aceh Tenggara,64.90
2010,Laki-laki,Aceh,Aceh Timur,65.95
2010,Laki-laki,Aceh,Aceh Tengah,66.24
2010,Laki-laki,Aceh,Aceh Barat,65.20
2010,Laki-laki,Aceh,Aceh Besar,67.34
2010,Laki-laki,Aceh,Pidie,64.20
2010,Laki-laki,Aceh,Bireuen,68.26
2010,Laki-laki,Aceh,Aceh Utara,66.34
2010,Laki-laki,Aceh,Aceh Barat Daya,61.55
2010,Laki-laki,Aceh,Gayo Lues,62.34
2010,Laki-laki,Aceh,Aceh Tamiang,66.59
2010,Laki-laki,Aceh,Nagan Raya,66.20
2010,Laki-laki,Aceh,Aceh Jaya,64.35
2010,Laki-laki,Aceh,Bener Meriah,66.53
2010,Laki-laki,Aceh,Pidie Jaya,67.02
2010,Laki-laki,Aceh,Kota Banda Aceh,68.69
2010,Laki-laki,Aceh,Kota Sabang,67.52
2010,Laki-laki,Aceh,Kota Langsa,66.66
2010,Laki-laki,Aceh,Kota Lhokseumawe,68.51
2010,Laki-laki,Aceh,Kota Subulussalam,60.72
2010,Laki-laki,Sumatera Utara,Nias,66.50
2010,Laki-laki,Sumatera Utara,Mandailing Natal,58.77
2010,Laki-laki,Sumatera Utara,Tapanuli Selatan,60.59
2010,Laki-laki,Sumatera Utara,Tapanuli Tengah,64.52
2010,Laki-laki,Sumatera Utara,Tapanuli Utara,64.84
2010,Laki-laki,Sumatera Utara,Toba Samosir,66.63
2010,Laki-laki,Sumatera Utara,Labuhan Batu,67.19
2010,Laki-laki,Sumatera Utara,Asahan,64.93
2010,Laki-laki,Sumatera Utara,Simalungun,67.89
2010,Laki-laki,Sumatera Utara,Dairi,65.00
2010,Laki-laki,Sumatera Utara,Karo,68.31
2010,Laki-laki,Sumatera Utara,Deli Serdang,68.74
2010,Laki-laki,Sumatera Utara,Langkat,64.94
2010,Laki-laki,Sumatera Utara,Nias Selatan,64.90
2010,Laki-laki,Sumatera Utara,Humbang Hasundutan,65.48
2010,Laki-laki,Sumatera Utara,Pakpak Bharat,62.48
2010,Laki-laki,Sumatera Utara,Samosir,67.27
2010,Laki-laki,Sumatera Utara,Serdang Bedagai,64.74
2010,Laki-laki,Sumatera Utara,Batu Bara,63.17
2010,Laki-laki,Sumatera Utara,Padang Lawas Utara,64.40
2010,Laki-laki,Sumatera Utara,Padang Lawas,63.94
2010,Laki-laki,Sumatera Utara,Labuhan Batu Selatan,66.03
2010,Laki-laki,Sumatera Utara,Labuhan Batu Utara,66.23
2010,Laki-laki,Sumatera Utara,Nias Utara,68.92
2010,Laki-laki,Sumatera Utara,Nias Barat,69.94
2010,Laki-laki,Sumatera Utara,Kota Sibolga,64.90
2010,Laki-laki,Sumatera Utara,Kota Tanjung Balai,59.15
2010,Laki-laki,Sumatera Utara,Kota Pematang Siantar,69.44
2010,Laki-laki,Sumatera Utara,Kota Tebing Tinggi,67.82
2010,Laki-laki,Sumatera Utara,Kota Medan,69.96
2010,Laki-laki,Sumatera Utara,Kota Binjai,69.20
2010,Laki-laki,Sumatera Utara,Kota Padangsidimpuan,66.14
2010,Laki-laki,Sumatera Utara,Kota Gunungsitoli,69.83
2010,Laki-laki,Sumatera Barat,Kepulauan Mentawai,61.61
2010,Laki-laki,Sumatera Barat,Pesisir Selatan,67.27
2010,Laki-laki,Sumatera Barat,Solok,64.69
2010,Laki-laki,Sumatera Barat,Sijunjung,62.80
2010,Laki-laki,Sumatera Barat,Tanah Datar,65.95
2010,Laki-laki,Sumatera Barat,Padang Pariaman,64.94
2010,Laki-laki,Sumatera Barat,Agam,68.64
2010,Laki-laki,Sumatera Barat,Lima Puluh Kota,67.07
2010,Laki-laki,Sumatera Barat,Pasaman,63.66
2010,Laki-laki,Sumatera Barat,Solok Selatan,64.03
2010,Laki-laki,Sumatera Barat,Dharmasraya,67.49
2010,Laki-laki,Sumatera Barat,Pasaman Barat,64.82
2010,Laki-laki,Sumatera Barat,Kota Padang,71.14
2010,Laki-laki,Sumatera Barat,Kota Solok,70.28
2010,Laki-laki,Sumatera Barat,Kota Sawah Lunto,67.02
2010,Laki-laki,Sumatera Barat,Kota Padang Panjang,70.42
2010,Laki-laki,Sumatera Barat,Kota Bukittinggi,71.09
2010,Laki-laki,Sumatera Barat,Kota Payakumbuh,70.42
2010,Laki-laki,Sumatera Barat,Kota Pariaman,67.43
2010,Laki-laki,Riau,Kuantan Singingi,65.59
2010,Laki-laki,Riau,Indragiri Hulu,67.52
2010,Laki-laki,Riau,Indragiri Hilir,64.33
2010,Laki-laki,Riau,Pelalawan,67.47
2010,Laki-laki,Riau,Siak,68.30
2010,Laki-laki,Riau,Kampar,67.59
2010,Laki-laki,Riau,Rokan Hulu,66.36
2010,Laki-laki,Riau,Bengkalis,68.32
2010,Laki-laki,Riau,Rokan Hilir,67.00
2010,Laki-laki,Riau,Kepulauan Meranti,69.58
2010,Laki-laki,Riau,Kota Pekanbaru,69.39
2010,Laki-laki,Riau,Kota Dumai,67.94
2010,Laki-laki,Jambi,Kerinci,66.78
2010,Laki-laki,Jambi,Merangin,68.86
2010,Laki-laki,Jambi,Sarolangun,66.65
2010,Laki-laki,Jambi,Batang Hari,67.53
2010,Laki-laki,Jambi,Muaro Jambi,68.60
2010,Laki-laki,Jambi,Tanjung Jabung Timur,62.86
2010,Laki-laki,Jambi,Tanjung Jabung Barat,65.49
2010,Laki-laki,Jambi,Tebo,67.64
2010,Laki-laki,Jambi,Bungo,64.68
2010,Laki-laki,Jambi,Kota Jambi,70.21
2010,Laki-laki,Jambi,Kota Sungai Penuh,69.33
2010,Laki-laki,Sumatera Selatan,Ogan Komering Ulu,65.58
2010,Laki-laki,Sumatera Selatan,Ogan Komering Ilir,65.97
2010,Laki-laki,Sumatera Selatan,Muara Enim,65.71
2010,Laki-laki,Sumatera Selatan,Lahat,62.02
2010,Laki-laki,Sumatera Selatan,Musi Rawas,64.84
2010,Laki-laki,Sumatera Selatan,Musi Banyuasin,66.00
2010,Laki-laki,Sumatera Selatan,Banyu Asin,66.19
2010,Laki-laki,Sumatera Selatan,Ogan Komering Ulu Selatan,63.75
2010,Laki-laki,Sumatera Selatan,Ogan Komering Ulu Timur,65.69
2010,Laki-laki,Sumatera Selatan,Ogan Ilir,62.32
2010,Laki-laki,Sumatera Selatan,Empat Lawang,61.96
2010,Laki-laki,Sumatera Selatan,Penukal Abab Lematang Ilir,66.47
2010,Laki-laki,Sumatera Selatan,Musi Rawas Utara,70.06
2010,Laki-laki,Sumatera Selatan,Kota Palembang,67.75
2010,Laki-laki,Sumatera Selatan,Kota Prabumulih,67.37
2010,Laki-laki,Sumatera Selatan,Kota Pagar Alam,63.35
2010,Laki-laki,Sumatera Selatan,Kota Lubuklinggau,66.47
2010,Laki-laki,Bengkulu,Bengkulu Selatan,64.99
2010,Laki-laki,Bengkulu,Rejang Lebong,65.24
2010,Laki-laki,Bengkulu,Bengkulu Utara,65.32
2010,Laki-laki,Bengkulu,Kaur,63.44
2010,Laki-laki,Bengkulu,Seluma,64.37
2010,Laki-laki,Bengkulu,Mukomuko,63.64
2010,Laki-laki,Bengkulu,Lebong,60.11
2010,Laki-laki,Bengkulu,Kepahiang,64.56
2010,Laki-laki,Bengkulu,Bengkulu Tengah,65.61
2010,Laki-laki,Bengkulu,Kota Bengkulu,67.31
2010,Laki-laki,Lampung,Lampung Barat,63.39
2010,Laki-laki,Lampung,Tanggamus,64.53
2010,Laki-laki,Lampung,Lampung Selatan,65.59
2010,Laki-laki,Lampung,Lampung Timur,66.79
2010,Laki-laki,Lampung,Lampung Tengah,66.36
2010,Laki-laki,Lampung,Lampung Utara,65.35
2010,Laki-laki,Lampung,Way Kanan,65.67
2010,Laki-laki,Lampung,Tulangbawang,66.50
2010,Laki-laki,Lampung,Pesawaran,64.78
2010,Laki-laki,Lampung,Pringsewu,69.94
2010,Laki-laki,Lampung,Mesuji,66.41
2010,Laki-laki,Lampung,Tulang Bawang Barat,66.17
2010,Laki-laki,Lampung,Pesisir Barat,69.41
2010,Laki-laki,Lampung,Kota Bandar Lampung,68.19
2010,Laki-laki,Lampung,Kota Metro,68.56
2010,Laki-laki,Kep. Bangka Belitung,Bangka,68.30
2010,Laki-laki,Kep. Bangka Belitung,Belitung,68.06
2010,Laki-laki,Kep. Bangka Belitung,Bangka Barat,67.28
2010,Laki-laki,Kep. Bangka Belitung,Bangka Tengah,67.78
2010,Laki-laki,Kep. Bangka Belitung,Bangka Selatan,64.28
2010,Laki-laki,Kep. Bangka Belitung,Belitung Timur,68.89
2010,Laki-laki,Kep. Bangka Belitung,Kota Pangkal Pinang,70.17
2010,Laki-laki,Kepulauan Riau,Karimun,66.31
2010,Laki-laki,Kepulauan Riau,Bintan,67.49
2010,Laki-laki,Kepulauan Riau,Natuna,60.25
