Provinsi,Tahun,Tamu,Hotel,Jumlah
Aceh,2003,WNA,Berbintang,0.5
Aceh,2004,WNA,Berbintang,0.5
Aceh,2005,WNA,Berbintang,9.7
Aceh,2006,WNA,Berbintang,25.1
Aceh,2007,WNA,Berbintang,11.2
Aceh,2008,WNA,Berbintang,11.5
Aceh,2009,WNA,Berbintang,9.2
Aceh,2010,WNA,Berbintang,9
Aceh,2011,WNA,Berbintang,6.3
Aceh,2012,WNA,Berbintang,4.3
Aceh,2013,WNA,Berbintang,7
Aceh,2014,WNA,Berbintang,11.8
Aceh,2015,WNA,Berbintang,13
Aceh,2016,WNA,Berbintang,24.34
Aceh,2017,WNA,Berbintang,24.59
Aceh,2018,WNA,Berbintang,11.73
Aceh,2019,WNA,Berbintang,9.21
Aceh,2020,WNA,Berbintang,2.49
Aceh,2021,WNA,Berbintang,0.12
Aceh,2003,WNI,Berbintang,76.4
Aceh,2004,WNI,Berbintang,92.8
Aceh,2005,WNI,Berbintang,92.2
Aceh,2006,WNI,Berbintang,154.1
Aceh,2007,WNI,Berbintang,123.3
Aceh,2008,WNI,Berbintang,198
Aceh,2009,WNI,Berbintang,220.2
Aceh,2010,WNI,Berbintang,199.8
Aceh,2011,WNI,Berbintang,197.7
Aceh,2012,WNI,Berbintang,162.4
Aceh,2013,WNI,Berbintang,304.8
Aceh,2014,WNI,Berbintang,275
Aceh,2015,WNI,Berbintang,272.1
Aceh,2016,WNI,Berbintang,393.68
Aceh,2017,WNI,Berbintang,488.46
Aceh,2018,WNI,Berbintang,277.79
Aceh,2019,WNI,Berbintang,312.73
Aceh,2020,WNI,Berbintang,2.49
Aceh,2021,WNI,Berbintang,195.25
Aceh,2003,WNA,Non-Bintang,113
Aceh,2004,WNA,Non-Bintang,12
Aceh,2005,WNA,Non-Bintang,1249
Aceh,2006,WNA,Non-Bintang,1098
Aceh,2007,WNA,Non-Bintang,1630
Aceh,2008,WNA,Non-Bintang,1143
Aceh,2009,WNA,Non-Bintang,2042
Aceh,2010,WNA,Non-Bintang,1537
Aceh,2011,WNA,Non-Bintang,1851
Aceh,2012,WNA,Non-Bintang,1547
Aceh,2013,WNA,Non-Bintang,2303.69
Aceh,2014,WNA,Non-Bintang,8065.92
Aceh,2015,WNA,Non-Bintang,5063.22
Aceh,2016,WNA,Non-Bintang,29863
Aceh,2017,WNA,Non-Bintang,20129.16
Aceh,2018,WNA,Non-Bintang,10198
Aceh,2019,WNA,Non-Bintang,10803
Aceh,2020,WNA,Non-Bintang,24806
Aceh,2021,WNA,Non-Bintang,834
Aceh,2003,WNI,Non-Bintang,144068
Aceh,2004,WNI,Non-Bintang,161808
