Tahun,Jk,Umur,Penduduk
2010,Laki-laki,00-04,12114
2010,Laki-laki,05-09,11414
2010,Laki-laki,10-14,11384
2010,Laki-laki,15-19,10993
2010,Laki-laki,20-24,10768
2010,Laki-laki,25-29,10927
2010,Laki-laki,30-34,10264
2010,Laki-laki,35-39,9414
2010,Laki-laki,40-44,8517
2010,Laki-laki,45-49,7325
2010,Laki-laki,50-54,5865
2010,Laki-laki,55-59,4364
2010,Laki-laki,60-64,3218
2010,Laki-laki,65-69,2568
2010,Laki-laki,70-74,1898
2010,Laki-laki,75-79,1126
2010,Laki-laki,80-84,522
2010,Laki-laki,85+,201
2010,Perempuan,00-04,11490
2010,Perempuan,05-09,10817
2010,Perempuan,10-14,10793
2010,Perempuan,15-19,10406
2010,Perempuan,20-24,10226
2010,Perempuan,25-29,10465
2010,Perempuan,30-34,9958
2010,Perempuan,35-39,9224
2010,Perempuan,40-44,8392
2010,Perempuan,45-49,7257
2010,Perempuan,50-54,5883
2010,Perempuan,55-59,4482
2010,Perempuan,60-64,3590
2010,Perempuan,65-69,3095
2010,Perempuan,70-74,2411
2010,Perempuan,75-79,1543
2010,Perempuan,80-84,767
2010,Perempuan,85+,337
2011,Laki-laki,00-04,12225
2011,Laki-laki,05-09,11490
2011,Laki-laki,10-14,11386
2011,Laki-laki,15-19,11063
2011,Laki-laki,20-24,10770
2011,Laki-laki,25-29,10896
2011,Laki-laki,30-34,10406
2011,Laki-laki,35-39,9554
2011,Laki-laki,40-44,8677
2011,Laki-laki,45-49,7541
2011,Laki-laki,50-54,6115
2011,Laki-laki,55-59,4586
2011,Laki-laki,60-64,3308
2011,Laki-laki,65-69,2591
2011,Laki-laki,70-74,1929
2011,Laki-laki,75-79,1161
2011,Laki-laki,80-84,542
2011,Laki-laki,85+,211
2011,Perempuan,00-04,11597
2011,Perempuan,05-09,10890
2011,Perempuan,10-14,10794
2011,Perempuan,15-19,10477
2011,Perempuan,20-24,10221
2011,Perempuan,25-29,10415
2011,Perempuan,30-34,10072
2011,Perempuan,35-39,9348
2011,Perempuan,40-44,8543
2011,Perempuan,45-49,7469
2011,Perempuan,50-54,6127
2011,Perempuan,55-59,4704
2011,Perempuan,60-64,3634
2011,Perempuan,65-69,3129
2011,Perempuan,70-74,2462
2011,Perempuan,75-79,1601
2011,Perempuan,80-84,806
2011,Perempuan,85+,358
2012,Laki-laki,00-04,12320
2012,Laki-laki,05-09,11613
2012,Laki-laki,10-14,11362
2012,Laki-laki,15-19,11151
2012,Laki-laki,20-24,10795
2012,Laki-laki,25-29,10830
2012,Laki-laki,30-34,10547
2012,Laki-laki,35-39,9693
2012,Laki-laki,40-44,8825
2012,Laki-laki,45-49,7750
